car_make,car_model,year,engine_size,horsepower,acceleration_time,price,mileage
Mercedes-Benz,AMG GT Black Series,2021,4.0,720.0,3.2,326050,30256.0
Porsche,Cayman GT4,2021,4.0,414.0,4.2,102500,38140.0
Lamborghini,Aventador,2021,6.0,770.0,2.8,417650,36565.0
Ferrari,Portofino,2021,4.0,591.0,3.3,218750,36565.0
Audi,TT RS,2022,2.0,394.0,3.6,69000,39419.0
McLaren,600LT Spider,2021,4.0,592.0,2.8,256500,36565.0
BMW,M4,2022,3.0,473.0,4.1,72800,44750.0
Mercedes-Benz,AMG C 63,2022,4.0,503.0,3.8,70000,30256.0
Chevrolet,Camaro SS 1LE,2021,6.0,455.0,4.0,44500,29808.0
Ford,Mustang Mach 1,2021,5.0,480.0,4.0,51000,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,5.2,45000,46558.0
Aston Martin,Vantage,2021,4.0,503.0,3.5,146000,36565.0
Bugatti,Chiron,2022,8.0,1500.0,2.4,3000000,35997.0
Koenigsegg,Jesko,2021,5.0,1262.0,2.5,3000000,36565.0
Pagani,Huayra,2021,6.0,764.0,2.6,2600000,36565.0
McLaren,Speedtail,2021,4.0,1035.0,2.5,2300000,36565.0
Lamborghini,Sián,2021,6.0,819.0,2.8,3600000,36565.0
Porsche,Cayman,2022,2.0,300.0,4.9,59900,41833.0
Lamborghini,Aventador,2021,6.0,770.0,2.8,393695,36565.0
Ferrari,Portofino,2021,4.0,591.0,3.5,215000,36565.0
Audi,RS 5,2022,3.0,444.0,3.7,75100,39419.0
McLaren,GT,2021,4.0,620.0,3.1,210000,36565.0
BMW,Z4 M40i,2022,3.0,382.0,4.3,63700,38354.0
Mercedes-Benz,SLC 43,2020,3.0,385.0,4.6,62000,30256.0
Chevrolet,Camaro SS,2022,6.0,455.0,4.3,42500,29808.0
Ford,Mustang GT,2022,5.0,460.0,4.3,36120,41361.0
Nissan,370Z Nismo,2020,4.0,350.0,4.6,45790,46558.0
Aston Martin,Vantage,2022,4.0,503.0,3.6,146000,35997.0
Bentley,Continental GT,2021,4.0,626.0,3.3,220000,36565.0
Porsche,718 Boxster,2022,2.0,300.0,4.9,62000,38140.0
Lamborghini,Urus,2021,4.0,641.0,3.6,222004,36565.0
Ferrari,F8 Spider,2021,4.0,710.0,2.9,280000,36565.0
Audi,TT RS,2022,2.0,394.0,3.6,69900,39419.0
McLaren,570S,2021,4.0,562.0,2.9,208800,36565.0
BMW,M4,2022,3.0,473.0,4.0,72800,44750.0
Porsche,718 Cayman,2022,2.0,300.0,4.9,60500,38140.0
Lamborghini,Aventador,2021,6.0,730.0,2.9,393695,36565.0
Ferrari,SF90 Stradale,2022,4.0,986.0,2.5,625000,35997.0
Audi,RS5,2022,3.0,444.0,3.7,75100,35000.0
McLaren,GT,2021,4.0,612.0,3.2,208800,36565.0
BMW,M2,2022,3.0,405.0,4.0,58900,42857.0
Mercedes-Benz,SLS AMG,2015,6.0,622.0,3.6,229000,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,62000,29808.0
Ford,GT,2022,4.0,660.0,3.0,500000,41361.0
Nissan,370Z Nismo,2020,4.0,350.0,5.2,46200,46558.0
Dodge,Challenger SRT Hellcat,2021,6.0,717.0,3.6,71000,45110.0
Aston Martin,DBS Superleggera,2021,5.0,715.0,3.2,308000,36565.0
Alfa Romeo,Giulia Quadrifoglio,2022,3.0,505.0,3.8,80500,35997.0
Jaguar,F-Type R,2021,5.0,575.0,3.5,105900,36607.0
Lotus,Evora GT,2020,4.0,416.0,3.8,96950,34149.0
Maserati,GranTurismo,2019,5.0,454.0,4.7,150980,40853.0
Porsche,Panamera Turbo S,2022,4.0,630.0,2.9,180800,38140.0
Lamborghini,Urus,2021,4.0,641.0,3.2,218000,36565.0
Aston Martin,Vantage,2021,4.0,503.0,3.5,146000,36565.0
Lotus,Evora,2021,4.0,416.0,3.8,94000,36565.0
Alfa Romeo,4C Spider,2020,2.0,237.0,4.1,67150,34149.0
Jaguar,F-Type,2022,3.0,380.0,4.9,70900,27244.0
Maserati,GranTurismo,2021,5.0,454.0,4.7,134300,36565.0
Porsche,Cayman GT4,2021,4.0,414.0,4.2,100200,38140.0
Audi,RS5 Coupe,2022,3.0,444.0,3.7,76450,39419.0
BMW,M2 Competition,2021,3.0,405.0,4.0,58900,38354.0
Chevrolet,Camaro ZL1,2022,6.0,650.0,3.5,64000,29808.0
Dodge,Challenger SRT Hellcat,2022,6.0,717.0,3.5,61500,45110.0
Ford,GT,2021,4.0,647.0,2.8,500000,41361.0
Lexus,LC 500,2022,5.0,471.0,4.4,92950,57561.0
McLaren,570S,2022,4.0,562.0,3.1,198950,35997.0
Mercedes-AMG,C63 S Coupe,2021,4.0,503.0,3.7,77950,36565.0
Nissan,370Z Nismo,2021,4.0,350.0,4.9,45790,46558.0
Porsche,718 Boxster,2021,2.0,300.0,4.9,62000,38140.0
Lamborghini,Aventador S,2021,6.0,729.0,2.9,417826,36565.0
Ferrari,F8 Tributo,2021,4.0,710.0,2.9,274280,36565.0
Audi,TT RS Coupe,2021,2.0,394.0,3.6,67600,39419.0
BMW,M4 Coupe,2021,3.0,473.0,3.8,71800,38354.0
Acura,NSX,2021,4.0,573.0,2.7,159495,70741.0
Aston Martin,DBS Superleggera,2022,5.0,715.0,3.4,314500,35997.0
Bentley,Continental GT,2022,6.0,626.0,3.3,214425,35997.0
Bugatti,Chiron,2022,8.0,1500.0,2.3,3000000,35997.0
Dodge,Challenger SRT Hellcat,2022,6.0,717.0,3.5,71490,45110.0
Jaguar,F-Type,2021,5.0,575.0,3.5,105900,27244.0
Koenigsegg,Jesko,2021,5.0,1280.0,2.5,2800000,36565.0
Lexus,LC 500,2021,5.0,471.0,4.4,92950,57561.0
Lotus,Evora GT,2021,4.0,416.0,3.8,104400,36565.0
Maserati,GranTurismo,2022,5.0,454.0,4.7,150980,35997.0
McLaren,Artura,2022,3.0,671.0,3.0,225000,35997.0
Pagani,Huayra,2021,6.0,764.0,2.6,2600000,36565.0
Porsche,Cayman GT4,2022,4.0,414.0,4.2,102000,38140.0
Rolls-Royce,Wraith,2021,7.0,624.0,4.4,335550,36565.0
Toyota,GR Supra,2022,3.0,382.0,3.9,43090,30737.0
TVR,Griffith,2021,5.0,500.0,3.9,157500,36565.0
Ultima,RS,2021,6.0,1200.0,2.3,220000,36565.0
W Motors,Fenyr SuperSport,2022,4.0,800.0,2.7,1550000,35997.0
Acura,NSX,2021,4.0,573.0,2.9,157500,70741.0
Aston Martin,DBS Superleggera,2022,5.0,715.0,3.2,308000,35997.0
Bentley,Continental GT,2021,6.0,626.0,3.6,202500,36565.0
Bugatti,Chiron,2021,8.0,1500.0,2.3,3000000,36565.0
Dodge,Challenger SRT Hellcat,2021,6.0,717.0,3.5,65000,45110.0
Jaguar,F-Type,2021,3.0,380.0,4.9,63100,27244.0
Lexus,LC 500,2021,5.0,471.0,4.4,92950,57561.0
Maserati,GranTurismo,2021,5.0,454.0,4.8,134300,36565.0
McLaren,Artura,2022,3.0,671.0,3.0,225000,35997.0
Mercedes-Benz,AMG GT Black Series,2021,4.0,720.0,3.1,325000,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,63000,29808.0
Ford,GT,2021,4.0,647.0,3.0,500000,41361.0
Aston Martin,DBS Superleggera,2021,5.0,715.0,3.4,307820,36565.0
Jaguar,F-Type,2022,5.0,575.0,3.5,103200,27244.0
Dodge,Challenger SRT Hellcat Redeye,2021,6.0,797.0,3.5,80190,45110.0
Lotus,Evora GT,2022,4.0,416.0,3.8,105000,35997.0
Alfa Romeo,4C Spider,2020,2.0,237.0,4.1,68745,34149.0
Subaru,WRX STI,2022,2.0,310.0,5.2,38170,14571.0
Acura,NSX,2022,4.0,573.0,2.7,157500,70741.0
Koenigsegg,Jesko,2021,5.0,1280.0,2.5,2800000,36565.0
Bugatti,Chiron Super Sport 300+,2022,8.0,1578.0,2.3,5200000,35997.0
McLaren,Senna,2020,4.0,789.0,2.7,1500000,34149.0
Mercedes-Benz,SLS AMG Black Series,2014,6.0,622.0,3.5,275000,30256.0
Lexus,LC 500,2022,5.0,471.0,4.4,93050,57561.0
Chevrolet,Camaro ZL1,2022,6.0,650.0,3.5,65000,29808.0
Audi,RS 7 Sportback,2022,4.0,591.0,3.5,114000,39419.0
Ford,GT,2022,4.0,660.0,3.0,500000,41361.0
BMW,M2 CS,2022,3.0,444.0,3.8,84595,38354.0
Porsche,Cayman GT4,2022,4.0,414.0,4.2,102550,38140.0
Lamborghini,Aventador,2022,6.0,770.0,2.8,393695,35997.0
Aston Martin,Vantage,2021,4.0,503.0,3.6,146000,36565.0
Lotus,Evora GT,2021,4.0,416.0,3.8,96950,36565.0
Porsche,Panamera Turbo S,2021,4.0,620.0,2.9,180000,38140.0
Lamborghini,Aventador S,2022,6.0,729.0,2.9,460247,35997.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Audi,RS 6 Avant,2022,4.0,591.0,3.1,110045,39419.0
McLaren,570S,2021,4.0,562.0,3.1,192500,36565.0
BMW,M5,2022,4.0,600.0,3.2,103500,19000.0
Mercedes-Benz,AMG C 63 S,2021,4.0,503.0,3.7,77400,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64695,29808.0
Dodge,Challenger SRT Hellcat,2021,6.0,717.0,3.5,64195,45110.0
Ford,GT,2021,4.0,660.0,3.0,500000,41361.0
Nissan,370Z Nismo,2020,4.0,350.0,5.0,46815,46558.0
Porsche,Cayman GT4,2021,4.0,414.0,4.2,102550,38140.0
Audi,TT RS,2021,2.0,394.0,3.6,67895,39419.0
Chevrolet,Corvette Z06,2023,6.0,625.0,2.6,85000,29808.0
Lamborghini,Urus,2022,4.0,641.0,3.2,218009,35997.0
Mercedes-Benz,AMG GT 63 S,2021,4.0,630.0,3.1,162900,30256.0
Ferrari,Portofino M,2022,4.0,612.0,3.5,245000,35997.0
Bugatti,Chiron,2021,8.0,1479.0,2.5,3000000,36565.0
Aston Martin,DBS Superleggera,2021,5.0,715.0,3.4,304995,36565.0
Lotus,Evora GT,2021,4.0,416.0,3.8,100450,36565.0
Porsche,Cayman GT4,2022,4.0,414.0,4.2,100200,38140.0
Acura,NSX,2021,4.0,573.0,2.7,157500,70741.0
Lexus,LC,2021,5.0,471.0,4.4,92950,38750.0
Alfa Romeo,Giulia Quadrifoglio,2021,3.0,505.0,3.8,74750,36565.0
Audi,RS7,2021,4.0,591.0,3.5,114000,39419.0
Bentley,Continental GT,2021,6.0,626.0,3.3,218400,36565.0
BMW,M5,2021,4.0,600.0,3.2,103500,19000.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64695,29808.0
Dodge,Challenger Hellcat,2021,6.0,717.0,3.5,70595,45110.0
Ford,GT,2022,4.0,647.0,3.0,500000,41361.0
Jaguar,F-Type R,2021,5.0,575.0,3.5,103200,36607.0
Lamborghini,Aventador,2021,6.0,730.0,2.9,393695,36565.0
McLaren,570S,2021,4.0,562.0,3.1,203500,36565.0
Mercedes-Benz,SLS AMG,2015,6.0,583.0,3.6,221580,30256.0
Nissan,370Z Nismo,2020,4.0,350.0,4.7,47190,46558.0
Porsche,Boxster,2021,2.0,300.0,4.9,62000,51000.0
Porsche,718 Cayman,2022,2.0,300.0,4.9,61500,38140.0
Lamborghini,Aventador,2021,6.0,759.0,2.9,393695,36565.0
Ferrari,Roma,2021,4.0,612.0,3.3,222630,36565.0
Audi,RS 5,2022,3.0,444.0,3.5,75400,39419.0
McLaren,570S,2020,4.0,562.0,3.1,208000,34149.0
BMW,M2,2022,3.0,405.0,4.2,58900,42857.0
Mercedes-Benz,SL,2022,3.0,429.0,4.9,96250,30256.0
Chevrolet,Camaro,2021,6.0,455.0,4.0,25000,42667.0
Ford,GT,2022,4.0,660.0,3.0,500000,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,5.0,45000,46558.0
Aston Martin,DBS Superleggera,2021,5.0,715.0,3.4,307820,36565.0
Lotus,Evora GT,2021,4.0,416.0,3.8,100450,36565.0
Maserati,GranTurismo,2021,5.0,454.0,4.7,134300,36565.0
Porsche,Panamera,2022,3.0,325.0,5.2,88550,38500.0
Lamborghini,Urus,2021,4.0,641.0,3.6,218009,36565.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Audi,RS 6,2022,4.0,591.0,3.5,109000,39419.0
McLaren,Artura,2022,3.0,671.0,3.0,225000,35997.0
Lamborghini,Aventador S,2021,6.0,730.0,2.9,417650,36565.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Audi,RS 7,2022,4.0,591.0,3.5,117000,39419.0
McLaren,570S,2021,4.0,562.0,3.1,192500,36565.0
BMW,M4,2021,3.0,473.0,4.0,72800,44750.0
Mercedes-Benz,SLS AMG,2015,6.0,622.0,3.5,228000,30256.0
Chevrolet,Camaro SS,2021,6.0,455.0,4.0,42000,29808.0
Ford,GT,2021,4.0,660.0,3.0,500000,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,5.0,48000,46558.0
Aston Martin,DBS Superleggera,2021,5.0,715.0,3.2,307820,36565.0
Lexus,LC 500,2021,5.0,471.0,4.4,93000,57561.0
Bentley,Continental GT,2021,4.0,626.0,3.3,202500,36565.0
Maserati,GranTurismo,2021,5.0,454.0,4.7,150980,36565.0
Rolls-Royce,Dawn,2021,7.0,563.0,4.3,346300,36565.0
Bugatti,Chiron Pur Sport,2021,8.0,1500.0,2.3,3599000,36565.0
McLaren,Senna,2019,4.0,789.0,2.7,1050000,40853.0
Acura,NSX,2021,4.0,573.0,2.7,157500,70741.0
Aston Martin,DB11,2021,4.0,503.0,3.7,205600,36565.0
Audi,RS7,2021,4.0,591.0,3.5,114000,39419.0
Bentley,Continental GT,2021,6.0,626.0,3.6,201000,36565.0
Bugatti,Chiron,2021,8.0,1500.0,2.5,3000000,36565.0
Chevrolet,Camaro ZL1,2022,6.0,650.0,3.5,67000,29808.0
Dodge,Challenger Hellcat,2021,6.0,717.0,3.5,64000,45110.0
Ferrari,812 Superfast,2021,6.0,789.0,2.8,340000,36565.0
Lamborghini,Aventador SVJ,2021,6.0,770.0,2.8,517770,36565.0
McLaren,600LT Spider,2021,4.0,592.0,2.8,256500,36565.0
Mercedes-AMG,GT Black Series,2021,4.0,720.0,3.1,325000,36565.0
Nissan,400Z,2023,3.0,400.0,4.0,40000,46558.0
Porsche,Cayman GT4,2021,4.0,414.0,4.2,101000,38140.0
Rolls-Royce,Wraith,2021,7.0,624.0,4.4,330000,36565.0
Toyota,Supra,2021,3.0,382.0,3.9,43000,22857.0
Porsche,718 Boxster,2021,2.0,300.0,4.9,62000,38140.0
Porsche,718 Boxster,2022,2.0,300.0,4.9,62000,38140.0
Lamborghini,Aventador S,2021,6.0,730.0,2.9,417826,36565.0
Ferrari,SF90 Stradale,2022,4.0,986.0,2.5,625000,35997.0
Audi,RS 7,2022,4.0,591.0,3.5,114000,39419.0
McLaren,Artura,2021,3.0,671.0,3.0,225000,36565.0
BMW,M2,2022,3.0,405.0,4.1,58900,42857.0
Mercedes-Benz,SLS AMG,2015,6.0,583.0,3.6,221580,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64695,29808.0
Ford,GT,2022,4.0,647.0,3.0,500000,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,4.8,45000,46558.0
Dodge,Charger Hellcat,2021,6.0,707.0,3.6,69995,45110.0
Aston Martin,DBS Superleggera,2021,5.0,715.0,3.2,305000,36565.0
Alfa Romeo,Giulia Quadrifoglio,2021,3.0,505.0,3.8,75000,36565.0
Audi,TT RS,2021,2.0,394.0,3.6,68000,39419.0
Bentley,Continental GT,2021,6.0,626.0,3.6,203825,36565.0
BMW,M5,2022,4.0,600.0,3.2,103500,19000.0
Chevrolet,Corvette Stingray,2021,6.0,495.0,2.9,58900,29808.0
Dodge,Challenger SRT Hellcat,2021,6.0,717.0,3.5,63000,45110.0
Ford,Mustang GT,2022,5.0,460.0,4.0,45000,41361.0
Porsche,Cayman,2022,2.0,300.0,4.9,59900,41833.0
Lamborghini,Aventador,2021,6.0,770.0,2.8,417826,36565.0
Ferrari,Roma,2022,4.0,612.0,3.3,222630,35997.0
Audi,RS7,2022,4.0,591.0,3.5,114000,39419.0
McLaren,570S,2021,4.0,562.0,2.7,204995,36565.0
BMW,M4,2022,3.0,473.0,4.1,71800,44750.0
Mercedes-Benz,SLS AMG,2021,6.0,622.0,3.5,243600,30256.0
Chevrolet,Camaro SS,2021,6.0,455.0,4.0,42000,29808.0
Ford,GT,2022,4.0,660.0,2.8,500000,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,5.0,47190,46558.0
Porsche,Panamera,2022,3.0,325.0,5.4,88550,38500.0
Lamborghini,Urus,2021,4.0,641.0,3.2,218000,36565.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Audi,RS6,2022,4.0,591.0,3.5,113000,39419.0
McLaren,Artura,2021,3.0,671.0,3.0,225000,36565.0
BMW,M2,2022,3.0,405.0,4.0,58900,42857.0
Mercedes-Benz,GT 63,2021,4.0,577.0,3.3,161200,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,63000,29808.0
Aston Martin,DBS Superleggera,2021,5.0,715.0,3.2,310000,36565.0
Bugatti,Chiron,2022,8.0,1500.0,2.4,3000000,35997.0
Koenigsegg,Jesko,2021,5.0,1280.0,2.5,2800000,36565.0
Pagani,Huayra,2021,6.0,764.0,3.0,2600000,36565.0
McLaren,Senna,2021,4.0,789.0,2.7,1000000,36565.0
Porsche,918 Spyder,2015,5.0,887.0,2.2,1800000,38140.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Lamborghini,Aventador SVJ,2020,6.0,759.0,2.8,517000,34149.0
Audi,RS 6 Avant,2021,4.0,591.0,3.5,110000,39419.0
Bentley,Continental GT Speed,2022,6.0,650.0,3.5,300000,35997.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,68000,29808.0
Dodge,Challenger SRT Hellcat,2021,6.0,717.0,3.5,65000,45110.0
Ford,GT,2021,4.0,660.0,2.9,500000,41361.0
Lexus,LC 500,2022,5.0,471.0,4.4,92000,57561.0
Mercedes-AMG,GT Black Series,2021,4.0,720.0,3.1,330000,36565.0
Aston Martin,DB11,2021,4.0,503.0,3.9,205000,36565.0
Bentley,Continental GT,2022,4.0,542.0,3.9,229000,35997.0
Jaguar,F-Type,2022,2.0,296.0,5.4,62750,27244.0
Lotus,Evora GT,2021,4.0,416.0,3.8,100000,36565.0
Maserati,GranTurismo,2021,5.0,454.0,4.7,135000,36565.0
Porsche,Boxster,2022,2.0,300.0,4.9,63000,51000.0
Alfa Romeo,4C,2020,2.0,237.0,4.2,67150,34149.0
Chevrolet,Camaro,2022,6.0,455.0,4.0,62195,42667.0
Dodge,Challenger,2022,4.0,305.0,6.4,28000,51423.0
Ford,GT,2022,4.0,660.0,2.9,500000,41361.0
Audi,RS7,2022,4.0,591.0,3.5,115045,39419.0
BMW,M4,2022,3.0,473.0,4.1,71800,44750.0
Lamborghini,Aventador,2021,6.0,729.0,2.9,393695,36565.0
Mercedes-Benz,AMG C 63,2021,4.0,469.0,3.8,69900,30256.0
Nissan,370Z,2021,4.0,350.0,5.3,30090,54517.0
Porsche,Cayman,2022,2.0,300.0,4.9,68000,41833.0
BMW,i8,2022,2.0,369.0,4.2,147500,38354.0
Chevrolet,Corvette Stingray,2021,6.0,495.0,2.9,58900,29808.0
Lamborghini,Aventador S,2021,6.0,729.0,2.9,417650,36565.0
Ferrari,SF90 Stradale,2022,4.0,986.0,2.5,625000,35997.0
Audi,RS7,2022,4.0,591.0,3.5,115000,39419.0
McLaren,GT,2022,4.0,620.0,3.1,208000,35997.0
BMW,M5,2022,4.0,600.0,3.2,103500,19000.0
Mercedes-Benz,SLS AMG,2021,4.0,730.0,2.9,250000,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,63000,29808.0
Ford,GT,2022,4.0,660.0,2.8,500000,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,5.0,46100,46558.0
Porsche,Panamera Turbo S,2022,4.0,630.0,3.1,180000,38140.0
Lamborghini,Urus,2021,4.0,641.0,3.2,218000,36565.0
Ferrari,Portofino,2022,4.0,591.0,3.4,250000,35997.0
Audi,TT RS,2022,2.0,394.0,3.6,70000,39419.0
McLaren,570S,2021,4.0,562.0,3.1,200000,36565.0
Porsche,718 Cayman,2022,2.0,300.0,4.9,61500,38140.0
Lamborghini,Aventador,2021,6.0,770.0,2.8,417826,36565.0
Ferrari,Portofino,2022,4.0,612.0,3.3,245000,35997.0
Audi,TT RS,2022,2.0,394.0,3.6,67800,39419.0
McLaren,GT,2022,4.0,620.0,3.1,211300,35997.0
BMW,M4,2022,3.0,473.0,4.1,71800,44750.0
Mercedes-Benz,SLS AMG,2015,6.0,622.0,3.5,222500,30256.0
Chevrolet,Camaro SS,2022,6.0,455.0,4.0,43995,29808.0
Ford,GT,2022,4.0,660.0,2.9,500000,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,4.8,45790,46558.0
Porsche,911 Turbo S,2022,4.0,640.0,2.6,208000,38140.0
McLaren,765LT,2021,4.0,755.0,2.8,358000,36565.0
Lamborghini,Urus,2021,4.0,641.0,3.6,218009,36565.0
Mercedes-AMG,GT Black Series,2021,4.0,720.0,3.1,325000,36565.0
BMW,M5 Competition,2022,4.0,617.0,3.1,103500,38354.0
Audi,RS7,2022,4.0,591.0,3.5,115000,39419.0
Aston Martin,Vantage,2022,4.0,503.0,3.5,152995,35997.0
Ferrari,F8 Spider,2021,4.0,710.0,2.9,274280,36565.0
Lexus,LC 500,2022,5.0,471.0,4.4,102550,57561.0
Lamborghini,Aventador SVJ,2021,6.0,759.0,2.8,517770,36565.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Audi,RS6 Avant,2021,4.0,591.0,3.5,109000,39419.0
McLaren,600LT Spider,2021,4.0,592.0,2.8,256500,36565.0
BMW,M4,2022,3.0,473.0,3.8,71800,44750.0
Mercedes-Benz,AMG GT R,2021,4.0,577.0,3.5,180000,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64695,29808.0
Ford,GT,2022,4.0,660.0,3.0,500000,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,5.0,48000,46558.0
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,690.0,3.0,190000,38140.0
Lamborghini,Urus,2021,4.0,641.0,3.5,218000,36565.0
Ferrari,Portofino M,2021,4.0,612.0,3.4,235000,36565.0
Audi,TT RS,2022,2.0,394.0,3.6,67600,39419.0
McLaren,Artura,2022,3.0,671.0,3.0,225000,35997.0
BMW,M2 CS,2022,3.0,444.0,3.8,84595,38354.0
Mercedes-Benz,SLS AMG Black Series,2021,6.0,622.0,3.5,335000,30256.0
Chevrolet,Camaro SS,2021,6.0,455.0,4.0,42000,29808.0
Porsche,718 Boxster,2022,2.0,300.0,4.9,63000,38140.0
Lamborghini,Aventador SVJ,2020,6.0,759.0,2.8,573966,34149.0
Ferrari,SF90 Stradale,2022,4.0,986.0,2.5,625000,35997.0
Audi,TT RS Coupe,2022,2.0,394.0,3.5,68000,39419.0
McLaren,GT,2020,4.0,612.0,3.1,210000,34149.0
BMW,Z4 Roadster,2022,2.0,255.0,5.2,50000,38354.0
Mercedes-Benz,SLS AMG,2015,6.0,622.0,3.6,200000,30256.0
Chevrolet,Camaro SS Convertible,2022,6.0,455.0,4.0,49000,29808.0
Ford,GT,2021,4.0,660.0,2.9,500000,41361.0
Nissan,370Z Coupe,2020,4.0,332.0,5.0,30090,46558.0
Aston Martin,Vantage,2021,4.0,503.0,3.6,142086,36565.0
Bentley,Continental GT,2022,6.0,626.0,3.3,225000,35997.0
Bugatti,Chiron,2021,8.0,1479.0,2.4,3000000,36565.0
Dodge,Challenger SRT Hellcat,2022,6.0,717.0,3.5,68000,45110.0
Jaguar,F-Type,2022,2.0,296.0,5.4,63700,27244.0
Lotus,Evora GT,2021,4.0,416.0,3.8,100000,36565.0
Maserati,GranTurismo,2022,5.0,454.0,4.7,150980,35997.0
Aston Martin,DBS Superleggera,2021,5.0,715.0,3.2,304995,36565.0
Lotus,Evora GT,2021,4.0,416.0,3.8,98395,36565.0
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,689.0,3.0,190000,38140.0
Lamborghini,Aventador SVJ,2021,6.0,759.0,2.8,517000,36565.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Audi,RS7,2022,4.0,591.0,3.5,117000,39419.0
Mercedes-Benz,S63 AMG,2021,4.0,603.0,3.4,168000,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64500,29808.0
Ford,GT,2021,4.0,660.0,2.8,500000,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,4.7,46000,46558.0
Porsche,718 Cayman GT4,2022,4.0,414.0,4.2,102000,38140.0
Mercedes-AMG,C63 S Coupe,2021,4.0,503.0,3.7,77500,36565.0
Aston Martin,Vantage,2021,4.0,503.0,3.5,147000,36565.0
McLaren,570S,2021,4.0,562.0,3.1,193000,36565.0
BMW,M5,2022,4.0,600.0,3.2,103500,19000.0
Dodge,Challenger SRT Hellcat,2021,6.0,717.0,3.5,64000,45110.0
Lexus,LC 500,2021,5.0,471.0,4.4,92950,57561.0
Mercedes-AMG,GT 63 S,2021,4.0,630.0,3.1,162000,36565.0
Audi,TT RS,2021,2.0,394.0,3.6,67600,39419.0
Acura,NSX,2021,4.0,573.0,2.9,157500,70741.0
Porsche,Cayman GT4,2021,4.0,414.0,4.2,102000,38140.0
Lamborghini,Aventador S,2021,6.0,730.0,2.9,417826,36565.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Audi,RS 5,2022,3.0,444.0,3.5,76700,39419.0
McLaren,570S Spider,2020,4.0,562.0,3.1,208800,34149.0
BMW,M2 Competition,2022,3.0,405.0,4.2,58900,38354.0
Mercedes-Benz,C 63 AMG,2022,4.0,469.0,3.9,69000,30256.0
Chevrolet,Camaro SS,2021,6.0,455.0,4.0,42000,29808.0
Ford,Mustang GT,2022,5.0,460.0,4.5,43000,41361.0
Dodge,Challenger R/T,2021,6.0,372.0,5.1,35000,45110.0
Aston Martin,Vantage,2021,4.0,503.0,3.6,151000,36565.0
Lotus,Evora GT,2021,4.0,416.0,3.8,105000,36565.0
Alfa Romeo,4C Spider,2020,2.0,237.0,4.1,69000,34149.0
Jaguar,F-Type,2022,2.0,296.0,5.4,62500,27244.0
Koenigsegg,Jesko,2022,5.0,1600.0,2.5,3000000,35997.0
Bugatti,Chiron Super Sport 300+,2021,8.0,1578.0,2.4,5200000,36565.0
Porsche,Cayman GT4,2022,4.0,414.0,4.2,102100,38140.0
Chevrolet,Camaro ZL1,2022,6.0,650.0,3.5,63000,29808.0
Aston Martin,Vantage,2021,4.0,503.0,3.5,142086,36565.0
Alfa Romeo,Giulia Quadrifoglio,2022,3.0,505.0,3.8,83250,35997.0
Dodge,Challenger SRT Hellcat,2021,6.0,717.0,3.5,65000,45110.0
Lexus,LC 500,2022,5.0,471.0,4.4,93050,57561.0
Audi,RS 7 Sportback,2021,4.0,591.0,3.5,114000,39419.0
BMW,M4 Competition,2022,3.0,503.0,3.8,74700,38354.0
Mercedes-Benz,C63 S AMG,2022,4.0,503.0,3.9,77600,30256.0
Ford,GT,2022,4.0,660.0,2.9,500000,41361.0
McLaren,GT,2021,4.0,620.0,3.1,210000,36565.0
Porsche,Panamera Turbo S,2022,4.0,630.0,2.9,181100,38140.0
