Car Make,Car Model,Car Year,Car Mileage,Car Price
Ford,Mustang,2024,1000,48998
Smart,Fortwo,2015,39000,10599
Mazda,MX-5,2019,8000,30998
Mazda,MX-5,2018,58000,21998
Hyundai,Genesis,2013,24000,22998
Chevrolet,Corvette,2014,24000,39998
Chevrolet,Camaro,2019,22000,39998
Mazda,MX-5,2018,17000,24998
Chevrolet,Camaro,2013,16000,31998
Nissan,Z,2024,4000,48998
Fiat,124,2017,32000,19998
Scion,FR-S,2015,69000,19998
Chevrolet,Corvette,2016,9000,52998
Ford,Mustang,2024,4000,49998
Ford,Mustang,2021,41000,24998
Jaguar,F-Type,2021,14000,58998
Nissan,Z,2023,1000,44998
Dodge,Challenger,2020,28000,30998
Lexus,RC,2015,79000,23998
Nissan,370Z,2016,116000,21998
BMW,M4,2017,76000,37998
Dodge,Challenger,2022,54000,25998
Dodge,Challenger,2022,53000,25998
Dodge,Challenger,2022,37000,25998
Acura,TLX,2015,44000,20998
Mazda,MX-5,2021,27000,28998
Chevrolet,Camaro,2020,57000,28998
Chevrolet,Camaro,2020,7000,39998
Chevrolet,Corvette,2022,4000,72998
Audi,TTS,2019,14000,42998
Mercedes-Benz,CLS550,2017,44000,30998
Nissan,370Z,2020,15000,30998
Jaguar,F-Type,2016,31000,45998
Ford,Mustang,2018,65000,31998
Ford,Mustang,2023,48000,27998
Ford,Mustang,2017,24000,34998
Chevrolet,Camaro,2022,13000,41998
Volkswagen,Jetta,2019,24000,24998
Ford,Mustang,2020,49000,23998
Dodge,Charger,2023,5000,56998
Ford,Mustang,2019,6000,43998
Ford,Mustang,2020,26000,25998
Volkswagen,Eos,2015,35000,19998
Jaguar,F-Type,2017,30000,32998
Mazda,MX-5,2019,42000,24998
Smart,Fortwo,2014,77000,9998
Mini,Cooper,2013,65000,13599
Dodge,Charger,2023,13000,27998
Toyota,Supra,2022,6000,43998
Dodge,Challenger,2020,24000,24998
Acura,TLX,2015,91000,18998
Chevrolet,Corvette,2023,4000,71998
Chevrolet,Camaro,2017,83000,19998
Chevrolet,Camaro,2016,68000,20998
Acura,TLX,2015,101000,16998
Dodge,Challenger,2018,28000,29998
Dodge,Challenger,2020,8000,38998
Chevrolet,Corvette,2024,4000,69998
Dodge,Dart,2016,83000,12998
Audi,A5,2016,72000,18998
Ford,Mustang,2015,106000,17998
Audi,A5,2020,46000,31998
Porsche,718,2019,44000,50998
Chevrolet,Corvette,2023,7000,74998
Chevrolet,Camaro,2019,49000,23998
Nissan,Z,2024,23000,42998
Mercedes-Benz,SLC300,2017,32000,26998
Chevrolet,Camaro,2014,69000,19998
Chevrolet,Corvette,2015,24000,45998
Mazda,MX-5,2018,10000,23998
Mazda,MX-5,2018,26000,24998
Mazda,MX-5,2022,14000,28998
Jaguar,XF,2014,58000,18998
Scion,FR-S,2014,110000,17998
Mazda,MX-5,2021,7000,28998
Jaguar,F-Type,2024,1000,67998
Mazda,MX-5,2020,18000,26998
Ford,Mustang,2023,8000,52998
Audi,S4,2024,1000,54998
Dodge,Challenger,2020,24000,29998
Hyundai,Genesis,2015,87000,19998
Dodge,Charger,2021,23000,40998
Ford,Mustang,2015,63000,17998
Chevrolet,Camaro,2020,5000,37998
Ford,Mustang,2016,103000,24998
Dodge,Challenger,2016,71000,20998
Smart,Fortwo,2016,38000,16998
Ford,Mustang,2015,13000,34998
Dodge,Challenger,2014,53000,24998
Chevrolet,Corvette,2014,11000,42998
Nissan,Z,2024,1000,47998
Dodge,Challenger,2022,41000,26998
Mercedes-Benz,CLS550,2014,19000,30998
Infiniti,G37,2013,75000,18998
Ford,Mustang,2019,29000,26998
Mazda,MX-5,2021,11000,28998
Ford,Mustang,2015,93000,18998
Chevrolet,Corvette,2022,6000,76998
Audi,S4,2019,33000,32998
Dodge,Challenger,2020,14000,39998
Mazda,MX-5,2018,52000,20998
Audi,A5,2019,60000,25998
Dodge,Charger,2023,38000,22998
Ford,Mustang,2023,19000,37998
Chevrolet,Corvette,2023,9000,75998
Mercedes-Benz,SLC43,2017,20000,39998
Dodge,Charger,2023,3000,56998
Fiat,124,2019,8000,27998
Jaguar,XF,2018,31000,27998
Chevrolet,Camaro,2018,61000,23998
Acura,TLX,2019,51000,26998
Dodge,Challenger,2016,94000,20998
Chevrolet,Camaro,2020,9000,62998
Dodge,Challenger,2022,55000,27998
Dodge,Charger,2021,30000,44998
Chevrolet,Corvette,2024,3000,75998
BMW,Z4,2022,23000,38998
Mercedes-Benz,SLC43,2019,37000,41998
Chevrolet,Corvette,2016,22000,63998
Chevrolet,Camaro,2015,55000,20998
Chevrolet,Corvette,2023,1000,78998
Mercedes-Benz,C43,2023,19000,53998
Fiat,124,2017,38000,19998
Toyota,Supra,2020,6000,52998
Nissan,Z,2023,10000,44998
Chevrolet,Camaro,2016,16000,27998
Ford,Mustang,2023,21000,35998
Ford,Mustang,2021,49000,23998
Dodge,Challenger,2022,9000,34998
Dodge,Challenger,2022,32000,25998
Dodge,Challenger,2020,16000,38998
Chevrolet,Camaro,2015,37000,20998
BMW,Z4,2019,40000,33998
Lexus,RC,2015,44000,29998
Jaguar,XE,2017,48000,22998
Porsche,Cayman,2015,61000,57998
Mazda,MX-5,2020,51000,22998
Dodge,Dart,2016,61000,14998
Ford,Mustang,2022,55000,24998
BMW,Z4,2016,46000,23998
Ford,Mustang,2022,54000,24998
Cadillac,CT4,2020,77000,27998
Ford,Mustang,2020,51000,23998
Mini,Cooper,2015,61000,14998
Ford,Mustang,2022,50000,23998
Lexus,RC,2015,87000,23998
Chevrolet,Corvette,2023,7000,64998
Chevrolet,Camaro,2018,28000,38998
Mazda,MX-5,2024,2000,33998
Ford,Mustang,2013,53000,16998
Mini,Cooper,2021,24000,31998
Dodge,Charger,2023,2000,26998
Dodge,Challenger,2022,26000,25998
Mazda,MX-5,2016,63000,18998
Acura,TLX,2019,57000,24998
Chevrolet,Camaro,2020,7000,35998
Chevrolet,Corvette,2024,13000,67998
Chevrolet,Corvette,2023,2000,72998
Ford,Mustang,2020,17000,33998
BMW,Z4,2016,64000,28998
Acura,TLX,2015,44000,19998
Dodge,Challenger,2019,58000,21998
Nissan,370Z,2017,72000,25998
Jaguar,F-Type,2015,17000,33998
Ford,Mustang,2022,58000,24998
Ford,Mustang,2020,18000,25998
Jaguar,XE,2018,56000,20998
Mazda,MX-5,2022,9000,29998
Ford,Mustang,2023,13000,35998
Chevrolet,Corvette,2017,6000,51998
Dodge,Charger,2021,42000,36998
BMW,M550,2018,55000,35998
Mazda,MX-5,2021,53000,26998
Jaguar,XK,2014,49000,28998
Mercedes-Benz,CLS550,2014,54000,27998
Dodge,Charger,2021,30000,39998
BMW,M550,2018,57000,35998
Ford,Mustang,2020,49000,23998
Jaguar,XE,2017,42000,20998
Porsche,718,2018,32000,51998
Ford,Mustang,2013,33000,19998
Chevrolet,Camaro,2018,33000,24998
Dodge,Charger,2021,15000,41998
Chevrolet,Corvette,2020,27000,64998
Volkswagen,Jetta,2019,25000,24998
Genesis,G80,2020,40000,27998
Mazda,MX-5,2016,31000,19998
Mazda,MX-5,2022,9000,29998
Audi,RS5,2018,32000,48998
Mercedes-Benz,CLS550,2014,43000,24998
Dodge,Challenger,2019,64000,24998
Toyota,Supra,2021,20000,40998
BMW,M550,2018,47000,35998
Ford,Mustang,2019,37000,23998
Toyota,86,2017,61000,25998
Genesis,G80,2018,41000,29998
Audi,RS3,2018,34000,47998
Ford,Mustang,2018,88000,19998
Ford,Mustang,2019,60000,34998
Smart,Fortwo,2014,33000,11599
Dodge,Charger,2023,26000,25998
Mercedes-Benz,SLK250,2015,42000,22998
Mazda,MX-5,2019,9000,29998
Chevrolet,Camaro,2020,50000,23998
Hyundai,Genesis,2015,71000,19998
Mazda,MX-5,2020,10000,27998
Dodge,Challenger,2019,54000,23998
Ford,Mustang,2023,39000,26998
Scion,FR-S,2015,61000,20998
Ford,Mustang,2018,14000,28998
Dodge,Challenger,2019,60000,23998
BMW,230,2017,50000,21998
Acura,TLX,2017,106000,16998
Mazda,MX-5,2020,53000,25998
Dodge,Challenger,2022,11000,27998
Dodge,Challenger,2022,27000,26998
Dodge,Charger,2023,3000,27998
Ford,Mustang,2022,60000,22998
Dodge,Challenger,2022,54000,24998
Nissan,370Z,2018,41000,27998
Dodge,Challenger,2022,35000,25998
Acura,TLX,2019,92000,22998
Chevrolet,Camaro,2018,48000,21998
Ford,Mustang,2020,39000,24998
Chevrolet,Corvette,2023,2000,73998
Dodge,Challenger,2022,43000,26998
Dodge,Charger,2023,40000,24998
Chevrolet,Corvette,2021,11000,69998
Chevrolet,Corvette,2014,66000,37998
Lexus,RC,2016,52000,29998
Ford,Mustang,2021,53000,23998
BMW,230,2018,32000,21998
Ford,Mustang,2020,76000,23998
Ford,Mustang,2022,60000,22998
Ford,Mustang,2022,55000,24998
Audi,S5,2015,38000,28998
Dodge,Charger,2023,4000,28998
Dodge,Challenger,2015,86000,29998
Mercedes-Benz,C43,2023,18000,51998
Mazda,MX-5,2023,17000,29998
Ford,Mustang,2013,127000,14998
Ford,Mustang,2020,38000,24998
Nissan,370Z,2020,16000,34998
Ford,Mustang,2020,36000,35998
Ford,Mustang,2020,21000,28998
Audi,A5,2018,27000,25998
Dodge,Challenger,2015,90000,19998
Dodge,Challenger,2022,45000,24998
Mazda,MX-5,2013,128000,14998
Dodge,Charger,2023,20000,24998
Ford,Mustang,2020,38000,35998
Dodge,Challenger,2019,28000,29998
Mazda,MX-5,2020,20000,24998
Ford,Mustang,2022,59000,22998
Dodge,Challenger,2022,41000,24998
Ford,Mustang,2024,11000,32998
Dodge,Challenger,2020,52000,24998
Volkswagen,Jetta,2019,4000,27998
BMW,Z4,2022,16000,48998
Subaru,WRX,2023,20000,30998
Chevrolet,Camaro,2014,60000,17998
Chevrolet,Camaro,2017,64000,21998
Mazda,MX-5,2016,88000,18998
Mazda,MX-5,2021,6000,28998
Honda,CR-Z,2015,79000,15998
Nissan,370Z,2020,47000,29998
Genesis,G80,2018,53000,27998
Mercedes-Benz,SLC300,2018,24000,29998
Chevrolet,Corvette,2020,2000,72998
Smart,Fortwo,2014,62000,10599
Jaguar,XF,2017,47000,20998
Mazda,MX-5,2017,22000,20998
Chevrolet,Camaro,2020,53000,33998
Nissan,370Z,2014,125000,18998
Jaguar,XE,2017,50000,18998
Dodge,Charger,2021,29000,40998
Dodge,Charger,2023,37000,23998
Chevrolet,Camaro,2020,39000,27998
Ford,Mustang,2024,1000,50998
Genesis,G80,2017,82000,21998
Mazda,MX-5,2017,83000,18998
Chevrolet,Camaro,2020,45000,34998
Mazda,MX-5,2021,18000,25998
Ford,Mustang,2022,54000,24998
Lexus,RC,2016,123000,24998
Acura,TLX,2020,71000,27998
Mazda,MX-5,2023,19000,27998
Mazda,MX-5,2021,31000,24998
Porsche,Cayman,2016,34000,55998
Jaguar,F-Type,2015,21000,36998
Chevrolet,Corvette,2016,28000,60998
Cadillac,CT4-V,2023,25000,42998
Dodge,Charger,2023,4000,26998
Ford,Mustang,2020,47000,23998
Nissan,370Z,2017,43000,27998
Nissan,370Z,2017,92000,22998
Dodge,Challenger,2018,43000,24998
Chevrolet,Camaro,2014,49000,21998
Audi,A5,2018,65000,22998
Audi,S3,2016,87000,21998
Mazda,MX-5,2021,54000,23998
Ford,Mustang,2020,3000,36998
Ford,Mustang,2017,65000,19998
Mazda,MX-5,2022,24000,25998
Dodge,Challenger,2019,56000,24998
Dodge,Challenger,2022,38000,24998
Mazda,MX-5,2021,6000,29998
Mazda,MX-5,2022,11000,27998
Chevrolet,Corvette,2019,27000,50998
Mazda,MX-5,2016,59000,18998
Dodge,Challenger,2022,37000,25998
Ford,Mustang,2020,35000,26998
Mercedes-Benz,SL63,2018,14000,77998
Mazda,MX-5,2017,16000,24998
Lexus,RC,2015,69000,26998
Audi,A5,2018,27000,25998
Dodge,Charger,2023,23000,24998
Chevrolet,Corvette,2022,5000,69998
Dodge,Charger,2023,17000,25998
Subaru,WRX,2023,14000,30998
Dodge,Challenger,2022,15000,25998
Acura,TLX,2020,35000,22998
Mazda,MX-5,2019,35000,24998
Dodge,Challenger,2022,26000,27998
Dodge,Challenger,2018,35000,24998
Mazda,MX-5,2022,3000,29998
Jaguar,F-Type,2020,6000,63998
Mazda,MX-5,2013,26000,20998
Acura,TLX,2018,44000,21998
Jaguar,XE,2020,18000,25998
Ford,Mustang,2020,59000,22998
Dodge,Charger,2023,4000,26998
Chevrolet,Corvette,2022,11000,70998
Jaguar,F-Type,2020,41000,36998
BMW,Z4,2023,10000,47998
Chevrolet,Corvette,2023,9000,74998
Mazda,MX-5,2021,46000,24998
Dodge,Challenger,2022,39000,25998
Chevrolet,Corvette,2023,3000,69998
Mazda,MX-5,2014,111000,14998
Lexus,RC,2016,109000,25998
Mazda,MX-5,2020,60000,22998
Chevrolet,Corvette,2023,15000,72998
Dodge,Charger,2023,18000,26998
Mercedes-Benz,SLC300,2017,17000,30998
Dodge,Charger,2021,24000,42998
Ford,Mustang,2021,63000,22998
Nissan,370Z,2016,32000,25998
Dodge,Dart,2015,56000,14998
Ford,Mustang,2020,31000,31998
Mazda,MX-5,2019,39000,24998
Lexus,RC,2015,33000,29998
Chevrolet,Camaro,2020,48000,34998
Chevrolet,Corvette,2022,5000,80998
Chevrolet,Camaro,2018,45000,56998
BMW,Z4,2015,65000,26998
Chevrolet,Corvette,2022,14000,77998
Chevrolet,Corvette,2023,3000,63998
Dodge,Challenger,2018,25000,26998
Dodge,Challenger,2020,57000,22998
Toyota,Supra,2021,10000,41998
Dodge,Challenger,2020,33000,24998
Mazda,MX-5,2022,8000,29998
Volkswagen,Golf,2024,3000,44998
Ford,Mustang,2019,38000,32998
Chevrolet,Camaro,2017,79000,21998
Audi,S3,2017,83000,22998
Cadillac,CT4-V,2023,2000,63998
BMW,Z4,2016,15000,34998
Chevrolet,Corvette,2023,11000,74998
Mazda,MX-5,2018,60000,20998
Dodge,Challenger,2019,49000,23998
Genesis,G80,2017,92000,19998
BMW,M4,2015,56000,39998
Smart,Fortwo,2014,27000,12998
Ford,Mustang,2024,2000,50998
Chevrolet,Corvette,2016,22000,49998
Chevrolet,Corvette,2015,74000,34998
Mazda,MX-5,2021,38000,26998
Volkswagen,Golf,2024,1000,46998
Mazda,MX-5,2023,6000,31998
Jaguar,F-Type,2017,48000,30998
Mazda,MX-5,2014,92000,18998
Porsche,911,2020,52000,91998
Dodge,Challenger,2022,50000,23998
Audi,S5,2020,31000,43998
Dodge,Charger,2023,6000,25998
Mazda,MX-5,2021,36000,24998
Dodge,Charger,2021,5000,45998
Acura,TLX,2017,93000,19998
Genesis,G80,2020,26000,28998
Dodge,Charger,2023,5000,55998
Dodge,Challenger,2016,124000,18998
Mazda,MX-5,2022,14000,25998
Dodge,Charger,2018,66000,21998
Dodge,Challenger,2020,42000,23998
Chevrolet,Camaro,2020,62000,24998
Mazda,MX-5,2016,30000,20998
Honda,CR-Z,2014,105000,14599
Lexus,RC,2016,72000,29998
Mazda,MX-5,2017,50000,20998
Chevrolet,Camaro,2018,26000,36998
Chevrolet,Corvette,2015,13000,66998
Ford,Mustang,2019,24000,22998
Chevrolet,Corvette,2016,52000,39998
Mazda,MX-5,2016,94000,18998
Dodge,Challenger,2018,25000,27998
Dodge,Challenger,2020,36000,25998
Mazda,MX-5,2019,51000,23998
Ford,Mustang,2021,57000,24998
Acura,TLX,2015,81000,19998
Ford,Mustang,2018,18000,54998
Chevrolet,Camaro,2021,33000,28998
Mazda,MX-5,2020,8000,28998
Fiat,124,2017,83000,16998
Mazda,MX-5,2020,17000,28998
Ford,Mustang,2022,60000,23998
Mazda,MX-5,2020,19000,26998
Chevrolet,Corvette,2023,12000,71998
Mercedes-Benz,SLK300,2016,43000,23998
Chevrolet,Camaro,2017,27000,35998
Mazda,MX-5,2019,35000,26998
Dodge,Challenger,2017,49000,22998
Ford,Mustang,2022,60000,24998
Cadillac,CT4-V,2023,24000,44998
Audi,A5,2018,36000,27998
Ford,Mustang,2022,60000,24998
BMW,Z4,2020,32000,34998
Ford,Mustang,2016,81000,18998
Chevrolet,Corvette,2023,11000,67998
Dodge,Challenger,2019,58000,23998
Honda,CR-Z,2014,67000,16998
BMW,M2,2020,50000,48998
Dodge,Charger,2023,34000,26998
Chevrolet,Camaro,2013,79000,15998
BMW,M240,2020,40000,32998
Lexus,RC,2016,23000,30998
Dodge,Challenger,2019,37000,29998
Nissan,370Z,2019,22000,32998
Mazda,MX-5,2020,27000,23998
Jaguar,F-Type,2017,46000,30998
Chevrolet,Corvette,2015,2000,48998
Dodge,Challenger,2019,88000,22998
Dodge,Charger,2021,29000,41998
Mazda,MX-5,2020,11000,27998
Dodge,Charger,2023,47000,24998
Chevrolet,Camaro,2018,65000,22998
Dodge,Challenger,2018,96000,20998
Mazda,MX-5,2023,8000,29998
Dodge,Charger,2023,32000,26998
Ford,Mustang,2022,58000,24998
Dodge,Charger,2023,30000,25998
Ford,Mustang,2022,57000,24998
Mazda,MX-5,2014,39000,20998
Jaguar,XE,2018,64000,18998
Ford,Mustang,2016,74000,19998
Dodge,Challenger,2022,56000,25998
Dodge,Challenger,2018,5000,28998
Dodge,Challenger,2022,21000,27998
Dodge,Challenger,2019,37000,25998
Chevrolet,Corvette,2021,8000,65998
Mazda,MX-5,2014,94000,16998
Genesis,G80,2017,69000,21998
Cadillac,CT4-V,2023,15000,46998
Ford,Mustang,2020,41000,24998
Dodge,Charger,2021,46000,38998
Dodge,Challenger,2018,69000,22998
Chevrolet,Camaro,2014,25000,42998
Dodge,Charger,2023,25000,26998
Genesis,G80,2020,57000,24998
Ford,Mustang,2020,30000,26998
Mazda,MX-5,2022,7000,29998
Scion,tC,2014,76000,16998
Nissan,Z,2023,4000,46998
Ford,Mustang,2024,12000,33998
Dodge,Charger,2023,12000,24998
Volkswagen,Jetta,2019,56000,20998
Dodge,Challenger,2015,9000,26998
Acura,TLX,2017,89000,19998
BMW,Z4,2020,17000,36998
Mazda,MX-5,2023,25000,26998
Jaguar,XKR,2014,25000,36998
Mazda,MX-5,2022,14000,27998
Scion,FR-S,2016,98000,17998
Scion,tC,2014,59000,16998
Fiat,124,2018,22000,21998
Chevrolet,Camaro,2015,78000,17998
Ford,Mustang,2020,29000,38998
Ford,Mustang,2024,4000,48998
Mazda,MX-5,2016,64000,19998
Jaguar,F-Type,2020,12000,64998
Ford,Mustang,2020,22000,36998
Ford,Mustang,2022,55000,23998
BMW,Z4,2020,8000,39998
Jaguar,F-Type,2021,35000,40998
Dodge,Challenger,2019,37000,29998
Dodge,Dart,2015,110000,11599
Chevrolet,Corvette,2014,23000,42998
Acura,TLX,2018,44000,24998
Chevrolet,Corvette,2022,9000,76998
Ford,Mustang,2023,45000,27998
Chevrolet,Camaro,2023,3000,72998
Mercedes-Benz,SLC43,2020,22000,44998
Dodge,Charger,2021,31000,39998
Dodge,Challenger,2015,80000,20998
Volkswagen,GTI,2016,79000,17998
Jaguar,F-Type,2014,17000,30998
Porsche,718,2024,13000,66998
Fiat,124,2018,47000,19998
Ford,Mustang,2020,29000,27998
Ford,Mustang,2023,40000,27998
Chevrolet,Corvette,2023,2000,81998
Porsche,Panamera,2018,35000,55998
Ford,Mustang,2022,40000,26998
Chevrolet,Corvette,2019,12000,63998
Nissan,370Z,2013,61000,23998
Jaguar,F-Type,2019,14000,41998
Ford,Mustang,2023,11000,29998
BMW,230,2017,69000,18998
Chevrolet,Corvette,2019,20000,48998
Jaguar,F-Type,2021,33000,38998
Jaguar,XE,2017,35000,19998
Ford,Mustang,2024,16000,47998
Chevrolet,Corvette,2017,31000,42998
Porsche,718,2017,43000,47998
Chevrolet,Corvette,2022,18000,64998
Chevrolet,Camaro,2021,22000,39998
Dodge,Challenger,2022,27000,25998
Ford,Mustang,2024,10000,47998
Genesis,G80,2017,57000,22998
Toyota,86,2019,10000,28998
Ford,Mustang,2019,16000,42998
Audi,e-tron,2023,14000,68998
Dodge,Challenger,2019,37000,25998
Acura,TLX,2018,104000,17998
Ford,Mustang,2021,40000,24998
Audi,TT,2019,37000,32998
Smart,Fortwo,2017,50000,14998
Scion,FR-S,2014,54000,19998
Ford,Mustang,2024,12000,34998
Mazda,MX-5,2020,41000,26998
Acura,TLX,2015,86000,17998
Cadillac,CT4,2020,39000,31998
Subaru,WRX,2023,18000,28998
Dodge,Charger,2023,2000,27998
Dodge,Challenger,2016,114000,20998
Mazda,MX-5,2016,20000,21998
Acura,TLX,2016,110000,17998
Porsche,Panamera,2019,26000,65998
Nissan,370Z,2017,53000,24998
Jaguar,F-Type,2015,39000,42998
Mazda,MX-5,2023,3000,29998
BMW,Z4,2022,14000,44998
Toyota,86,2017,67000,23998
Dodge,Challenger,2017,102000,19998
Ford,Mustang,2020,35000,32998
Mazda,MX-5,2015,56000,19998
Mazda,MX-5,2016,41000,20998
Ford,Mustang,2023,41000,26998
Mazda,MX-5,2016,76000,18998
Ford,Mustang,2023,14000,38998
Chevrolet,Camaro,2018,72000,31998
Scion,tC,2013,128000,11998
Genesis,G80,2020,18000,33998
Audi,S4,2019,43000,32998
BMW,Z4,2015,32000,24998
Chevrolet,Corvette,2024,2000,70998
